s_no,latitude,longitude,slide_name,state,state_normalized,district,subdivision_or_taluk,material_involved,movement_type,initiation_year_raw,history_date_raw,event_year,source_page
1,8.49,77.39,Balamore estate slide,Tamil Nadu,Tamil Nadu,Kanyakumari,Thiruvattar,Debris,Slide,0,,,1
2,8.507778,77.189722,Amboori,Kerala,Kerala,Thiruvananthapuram,Kattakkada,Debris,Slide,2001,,2001.0,1
3,8.507833,77.189,Amboori,Kerala,Kerala,Thiruvananthapuram,Kattakkada,Debris,Creep,2001,,2001.0,1
4,8.508861,77.1575,Perekonam,Kerala,Kerala,Thiruvananthapuram,Kattakkada,Debris,Flow,2000,,2000.0,1
5,8.509833,77.169139,Kandamthitta,Kerala,Kerala,Thiruvananthapuram,Kattakkada,Rock,Creep,2007,,2007.0,1
6,8.510528,77.157944,Paramukal,Kerala,Kerala,Thiruvananthapuram,Kattakkada,Debris,Creep,1996,,1996.0,1
7,8.519028,77.16775,Pottanthottam,Kerala,Kerala,Thiruvananthapuram,Kattakkada,Debris,Flow,1989,,1989.0,1
8,8.54,77.47,Sengaltheri slide -1,Tamil Nadu,Tamil Nadu,Tirunelveli,Nanguneri,Debris,Slide,0,,,1
9,8.54,77.47,Sengaltheri slide -2,Tamil Nadu,Tamil Nadu,Tirunelveli,Nanguneri,Debris,Slide,0,,,1
10,8.54,77.47,Muthaliruppan slide,Tamil Nadu,Tamil Nadu,Tirunelveli,Nanguneri,Debris,Slide,0,,,1
11,8.56,77.4,Nalumukku slide,Tamil Nadu,Tamil Nadu,Tirunelveli,Ambasamudram,Debris,Slide,0,,,1
12,8.58,77.43,Manjolai estate check post,Tamil Nadu,Tamil Nadu,Tirunelveli,Ambasamudram,Debris,Slide,0,,,1
13,8.588778,77.099083,,Kerala,Kerala,Kollam,Nedumangad,Debris,Flow,1992,,1992.0,1
14,8.59,77.35,Oothu slide-1,Tamil Nadu,Tamil Nadu,Tirunelveli,Ambasamudram,Debris,Flow,0,,,1
15,8.59,77.35,Oothu slide-2,Tamil Nadu,Tamil Nadu,Tirunelveli,Ambasamudram,Debris,Slide,0,,,1
16,8.64294,77.0712,Chettikunnu,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Rock,Slide,2016,,2016.0,1
17,8.703,77.114472,Vattakayam,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Creep,1993,,1993.0,1
18,8.711083,77.143339,Kallar,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1984,,1984.0,1
19,8.74275,77.13425,Merchestian Estate,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992,,1992.0,1
20,8.742944,77.132194,Merchestian Estate,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992,,1992.0,1
21,8.743139,77.161028,Merchestian Estate,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992,,1992.0,1
22,8.747056,77.132944,Ponmudi,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Rock,Fall,1992,,1992.0,1
23,8.747056,77.132944,Ponmudi,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992,,1992.0,1
24,8.74875,77.130722,Merchestian Estate,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1988,,1988.0,1
25,8.751889,77.071,Idinjar,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992,,1992.0,1
26,8.75475,77.125389,Kambimoodu-Idivukovil (Between hairpin curve  21 &22),Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,2011,,2011.0,1
27,8.758972,77.114917,Ponmudi near hair pin 22,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Creep,2002,,2002.0,1
28,8.763333,77.076861,Brimor-Kurisadi,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,1992,,1992.0,1
29,8.763333,77.109556,Ponmudi Upper Sanatorium,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,2010,,2010.0,1
30,8.764472,77.078611,Brimor-Kurisadi,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,1992,,1992.0,1
31,8.766997,77.099767,Bremore rubber estate,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,1991,,1991.0,1
32,8.768111,77.082278,Brimor-Kurisadi,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992,,1992.0,1
33,8.807056,77.106833,Shaghili Erattumukku,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992,,1992.0,1
34,8.807833,77.121694,Shaghili Erattumukku,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992,,1992.0,1
35,8.809139,77.12625,Shaghili Erattumukku,Kerala,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992,,1992.0,1
36,8.832028,77.190336,Near Umi Ar,Kerala,Kerala,Kollam,Punalur,Debris,Slide,1992,,1992.0,1
37,8.842944,77.155417,Near Ambakallu Mottai,Kerala,Kerala,Kollam,Punalur,Debris,Flow,2014,,2014.0,1
38,8.846797,77.176111,Near Umi Ar,Kerala,Kerala,Kollam,Punalur,Rock,Slide,1992,,1992.0,1
39,8.871111,76.978056,Anakulam,Kerala,Kerala,Kollam,Punalur,Debris,Slide,1984,,1984.0,1
40,8.88925,77.016916,Chinikal,Kerala,Kerala,Thiruvananthapuram,Punalur,Debris,Slide,1992,,1992.0,1
41,8.9,77.3,Cortallam road Rock fall,Tamil Nadu,Tamil Nadu,Tirunelveli,Tenkasi,Rock,Fall,0,,,1
42,8.913889,76.988889,"Uchikunnu,Kittamkonam chatuppu",Kerala,Kerala,Kollam,Punalur,Debris,Slide,2006,,2006.0,1
43,8.944806,77.147503,Tirthakara malai,Kerala,Kerala,Kollam,Punalur,Debris,Flow,1992,,1992.0,1
44,8.951111,77.049444,Tekumala,Kerala,Kerala,Kollam,Punalur,Debris,Slide,2012,,2012.0,1
45,8.96125,77.135342,Chenkottai Kollam metergauge,Kerala,Kerala,Kollam,Punalur,Debris,Slide,1992,,1992.0,1
46,8.964111,77.139056,Chenkottai Kollam metergauge and Suvaranagiri Ar.,Kerala,Kerala,Kollam,Punalur,Debris,Flow,1984,,1984.0,1
47,8.965528,77.090472,Thenmala near 13 Tonnes Bridge,Kerala,Kerala,Kollam,Punalur,Debris,Flow,1992,,1992.0,1
48,8.968028,77.13825,Chenkottai Kollam metergauge,Kerala,Kerala,Kollam,Punalur,Debris,Flow,1984,,1984.0,1
49,8.971278,77.155222,Ariyankavu,Kerala,Kerala,Kollam,Punalur,Debris,Flow,1992,,1992.0,1
50,8.984111,77.131806,Suvarnagiri,Kerala,Kerala,Kollam,Punalur,Debris,Slide,2014,,2014.0,1
51,8.984972,77.160667,"St .George Malakkara Catholic Church ,",Kerala,Kerala,Kollam,Punalur,Debris,Flow,1986,,1986.0,1
52,8.999222,77.13325,Kadamanpara,Kerala,Kerala,Kollam,Punalur,Debris,Slide,1992,,1992.0,1
53,8.999972,77.10525,near  Anachadi,Kerala,Kerala,Kollam,Punalur,Debris,Slide,1992,,1992.0,1
54,9.0,77.092389,Harison Malayalam,Kerala,Kerala,Kollam,Punalur,Debris,Flow,1992,,1992.0,1
55,9.0,77.17,,Tamil Nadu,Tamil Nadu,Tirunelveli,Shenkottai,Debris,Slide,0,,,1
56,9.000914,77.046006,Korvantalam Debris Flow -4,Kerala,Kerala,Kollam,Punalur,Debris,Flow,1992,,1992.0,1
57,9.002625,77.042514,Korvantalam RDebris Flow-3,Kerala,Kerala,Kollam,Punalur,Debris,Flow,1992,,1992.0,1
58,9.003225,77.041883,KorvantalamDebris Flow -2,Kerala,Kerala,Kollam,Punalur,Debris,Flow,1992,,1992.0,2
59,9.011014,77.037508,Korvantalam Debris Flow -1,Kerala,Kerala,Kollam,Punalur,Debris,Flow,1992,,1992.0,2
60,9.019408,77.049903,Chemmannutti Debris Flow -2,Kerala,Kerala,Kollam,Punalur,Debris,Flow,1992,,1992.0,2
61,9.022806,77.054992,Chemmannutti Debris Flow -1,Kerala,Kerala,Kollam,Punalur,Debris,Flow,1992,,1992.0,2
62,9.031964,77.102208,Ambanad  Debris Slide,Kerala,Kerala,Kollam,Punalur,Debris,Slide,0,,,2
63,9.041661,77.078336,Taletotam Debris Slide,Kerala,Kerala,Kollam,Punalur,Debris,Slide,0,,,2
64,9.044042,77.070014,Taletotam Debris Slide,Kerala,Kerala,Kollam,Punalur,Debris,Slide,0,,,2
65,9.07,77.22,Mekkarai slide,Tamil Nadu,Tamil Nadu,Virudhunagar,Shenkottai,Debris,Flow,1992,,1992.0,2
66,9.071744,76.997411,Kottakayam multiple Rock wedge failure,Kerala,Kerala,Kollam,Punalur,Rock,Fall,0,,,2
67,9.074494,77.133522,Mutala todu Debris Slide,Kerala,Kerala,Kollam,Punalur,Debris,Slide,0,,,2
68,9.077017,77.170594,Kumbhavurutty Debris Flow,Kerala,Kerala,Kollam,Punalur,Debris,Flow,0,,,2
69,9.079019,77.123406,Achankovil Debris Slide,Kerala,Kerala,Kollam,Punalur,Debris,Slide,0,,,2
70,9.080303,77.165261,Vala Lakshmi Debris Flow,Kerala,Kerala,Kollam,Konni,Debris,Flow,0,,,2
71,9.082639,77.160867,Vala Lakshmi Debris Slide,Kerala,Kerala,Kollam,Konni,Debris,Slide,0,,,2
72,9.099117,77.100708,Achankovil Debris Flow,Kerala,Kerala,Kollam,Konni,Debris,Flow,1992,,1992.0,2
73,9.117406,77.018122,Chempanuruvi Debris Slide,Kerala,Kerala,Kollam,Pathanapuram,Debris,Flow,1992,,1992.0,2
74,9.121653,77.040825,Tura Debris Slide,Kerala,Kerala,Kollam,Punalur,Debris,Slide,0,,,2
75,9.164556,76.873031,Athirungal - Vakayar road slide,Kerala,Kerala,Pathanamthitta,Konni,Soil,Slide,0,,,2
76,9.164556,76.873031,Athirungal slide,Kerala,Kerala,Pathanamthitta,Konni,Soil,Slide,0,,,2
77,9.166425,76.879383,Kulathuman slide,Kerala,Kerala,Pathanamthitta,Konni,Debris,Slide,0,,,2
78,9.167267,76.861056,Kulathuman slide,Kerala,Kerala,Pathanamthitta,Konni,Soil,Slide,0,,,2
79,9.170292,76.873753,Muttaakkuzhi slide 2,Kerala,Kerala,Pathanamthitta,Konni,Debris,Slide,0,,,2
80,9.170569,76.875092,Muttaakkuzhi slide,Kerala,Kerala,Pathanamthitta,Konni,Debris,Flow,0,,,2
81,9.170822,76.873661,Vakayar slide,Kerala,Kerala,Pathanamthitta,Konni,Soil,Slide,0,,,2
82,9.176258,76.859747,Thannimoodu slide,Kerala,Kerala,Pathanamthitta,Konni,Soil,Slide,0,,,2
83,9.177086,76.863,Mlaanthadam slide,Kerala,Kerala,Pathanamthitta,Konni,Soil,Slide,0,,,2
84,9.178389,76.879028,Kottarathara Debris Flow,Kerala,Kerala,Pathanamthita,Konni,Debris,Flow,2013,,2013.0,2
85,9.183183,76.888167,Aruvpallam Debris Flow -1,Kerala,Kerala,Pathanamthita,Konni,Debris,Flow,1977,,1977.0,2
86,9.18425,76.887844,Aruvpallam Debris Flow -2,Kerala,Kerala,Pathanamthita,Konni,Debris,Flow,1977,,1977.0,2
87,9.184814,76.869028,Chuvattupara cut slope failure,Kerala,Kerala,Pathanamthitta,Konni,Soil,Slide,0,,,2
88,9.233194,76.935817,Manniara Slump,Kerala,Kerala,Pathanamthita,Konni,Soil,Slide,2006,,2006.0,2
89,9.2339,76.933897,Manniara Debris Flow,Kerala,Kerala,Pathanamthita,Konni,Debris,Flow,2006,,2006.0,2
90,9.260186,76.962403,Thannithodu slide 2,Kerala,Kerala,Pathanamthitta,Konni,Debris,Slide,0,,,2
91,9.268942,76.968072,Thannithodu slide,Kerala,Kerala,Pathanamthitta,Konni,Debris,Slide,0,,,2
92,9.269308,76.96805,Mele Poochakkulam  2,Kerala,Kerala,Pathanamthitta,Konni,Debris,Flow,0,,,2
93,9.272417,76.969258,Mele Poochakkulam 1,Kerala,Kerala,Pathanamthitta,Konni,Debris,Flow,0,,,2
94,9.298778,76.801817,Mannarakulanji  slide,Kerala,Kerala,Pathanamthitta,Konni,Debris,Slide,0,,,2
